sentence1,sentence2,score
A man is playing a wooden flute while several other men play bongo drums.,A man is playing a flute.,0.65
A person is petting a monkey.,A man is holding a slow loris.,0.24
Two cartoon rabbits are kissing.,A rabbit is kissing another rabbit.,0.76
The hedgehog chewed on the towel.,A hedgehog is biting at a blanket.,0.68
A cat is licking himself.,A man is slicing a white onion with a mandolin slicer.,0.0
A small guinea pig is gnawing and eating a piece of carrot on the floor.,A Guinea pig eats a carrot.,0.7
Four boys are standing in front of the burning car.,Four young men stand still as a car explodes behind them.,0.75
A man is smoking.,The man sat in his suit and smoked.,0.8
A woman is adding sauce to some food.,A person is cutting leaves.,0.04
Three children are eating their food.,The deer jumped over the fence.,0.0
A submarine is going through water.,A baby is falling asleep.,0.0
A man is running on a street.,A man plays the guitar.,0.16
A person is slicing an onion.,A cat is pooping into a toilet.,0.0
A badger is digging in the dirt.,A man is moving large rocks.,0.0
A woman is slicing big pepper.,A dog is moving its mouth.,0.0
A man is riding a bicycle.,A man is riding a bike.,1.0
A man and a woman are kissing each other.,A man and a woman are talking to each other.,0.12
A woman is slicing an onion.,A woman is cutting an onion.,0.84
A small boy is playing with a dog.,A baby is playing with a dog.,0.75
The man is drawing.,A man is drawing.,1.0
A man is cutting a potato.,A woman is cutting a tomato.,0.25
A boy is playing a guitar.,A kid is playing a guitar.,0.72
A woman is cutting an onion.,A woman is cutting through an onion.,1.0
A toy train is striking a toy car.,A toy train strikes a toy car.,1.0
A man is playing the guitar.,A man is playing the flute.,0.44
A cat opens a drawer and climbs inside.,A cat is opening a drawer and climbing inside.,1.0
A woman is frying a food.,A woman is deep frying food.,0.85
A man is dicing an onion.,A woman is cutting an onion.,0.5
A girl is playing a guitar.,A man is playing a guitar.,0.56
A girl is singing on stage.,A man is singing on stage.,0.56
A woman is riding a horse.,A woman is riding a donkey.,0.56
A girl is playing a guitar.,A man is playing a guitar.,0.56
A woman is brushing some shrimp.,A woman brushes some shrimp.,1.0
A man is dancing on the ceiling.,A man is dancing on the ceiling of a room.,0.96
A woman thinly slices an onion with a large knife.,A woman is slicing onions with a large knife.,0.84
A man is playing a keyboard.,A man plays a keyboard.,1.0
A man plays the guitar.,A man is playing the guitar.,1.0
A woman is peeling a potato.,A woman peels a potato.,1.0
A woman is handling a frog.,A man is holding a frog.,0.75
A man is playing a flute.,A man is playing a guitar.,0.4
A man is playing a guitar.,A man is playing a flute.,0.32
A man is playing a piano.,A man is playing a guitar.,0.36
A man is playing a guitar.,A man is playing a piano.,0.4
A man is playing a flute.,A man is playing a guitar.,0.4
A man is playing a flute.,A man is playing a guitar.,0.4
Two women are on a couch.,Two women are hugging on a couch.,0.64
Someone is slicing a cucumber.,A man is slicing a cucumber.,0.76
A kitten is playing with a blue rope toy.,A kitten is playing with a toy.,0.88
The dog is barking at the toy.,A dog is barking at a toy.,1.0
A person folds a tortilla.,A man folds a tortilla.,0.7
A cat is drinking milk.,A kitten is drinking milk.,0.8
A person is driving a car.,A man is driving a car.,0.7
A turtle is walking.,A tortoise is walking.,0.88
A cow is eating grass.,A cow is eating hay.,0.76
A woman is chopping broccoli.,A woman is chopping garlic.,0.52
A man is crying.,A man is screaming.,0.6
The man is playing the guitar.,A man is playing guitar.,1.0
A man is cutting an onion.,A man is cutting a plantain.,0.73
A man is slicing a potato.,A woman is peeling a potato.,0.47
A woman is tapping her fingers on a table.,A woman is tapping her fingers.,0.8
Someone is boiling okra in a pot.,Someone is cooking okra in a pan.,0.88
A man is smoking.,A man is mixing.,0.04
The man is playing the drums.,A man is playing drums.,1.0
A man dives into a pool.,A man is diving into a pool.,1.0
A woman is cutting a leak.,A woman is slicing a leek.,0.8
A little boy is playing a guitar.,A boy is playing guitar.,0.92
A woman is dancing.,The man is dancing.,0.52
Women are talking.,The men are talking.,0.52
A girl is putting gel in her hair.,A woman is putting gel on her hair.,0.52
A kid is playing guitar.,A man is playing a guitar.,0.44
A group of people are marching in place.,A group of people are dancing in concert.,0.34
The woman is shooting a machine gun.,The man is shooting a gun.,0.4
A man played the piano.,A man plays a piano.,0.8
A woman is slicing an onion.,Someone is slicing a onion.,0.65
A man is slicing a cucumber.,A man is cutting cucumbers.,0.9
A girl is eating a cupcake.,A woman is eating a cupcake.,0.52
A woman is cutting an onion.,A man is chopping an onion.,0.4
The man is playing a guitar.,A baby is playing a guitar.,0.36
A man is playing the guitar.,A man is playing the drums.,0.31
Two little girls talk on the telephone.,Two girls talk on the phone.,0.9
A man is chopping a log with an axe.,A man is chopping a tree trunk with an axe.,0.8
A person is cutting a capsicum into pieces.,A person is slicing a garlic into pieces.,0.32
A man is talking with a woman.,A woman is walking with a dog.,0.1
The man is walking.,A man is talking.,0.28
Someone is pouring oil into a skillet.,Someone is pouring milk into a blender.,0.32
A small kitten is playing a ball.,A kitten is playing with a ball.,0.88
A man is playing a guitar.,A woman is playing a flute.,0.36
A girl is playing a violin.,A girl is playing a flute.,0.52
A man is playing two pianos.,A cat is playing a piano.,0.32
A man is exercising.,A girl is exercising.,0.6
A person is slicing a scallop.,A person is slicing octopus.,0.4
A man and a woman are riding on their bicycles.,A man and woman are riding a motorcycle.,0.4
Two men are fighting in a cow pasture.,Two men are fighting in a cattle pen.,0.8
A woman is adding oil to a pan.,A man is pouring oil into a pan.,0.6
A girl makes up her bed.,A young girl makes her bed.,0.88
The cat played with a watermelon.,A cat is playing with a watermelon.,0.96
A girl jumps on a car.,A girl is jumping onto a car.,0.96
A man is praying.,A man is running.,0.15
A car is parking.,A cat is playing.,0.0
A man is running.,A man is dancing.,0.25
A man is singing.,A man is dancing.,0.1
A man is carrying another man over his shoulder.,A man is carrying someone on his shoulder.,0.65
A woman is peeling a potato.,A woman is slicing a tomato.,0.27
A woman is cutting a tomato.,A woman is slicing a potato.,0.2
Someone is peeling a potato.,Someone is slicing a tomato.,0.28
A woman is peeling a potato.,A woman is slicing a tomato.,0.27
Two robots kiss.,Two robots are kissing.,1.0
Two boys on a couch are playing video games.,Two boys are playing a video game.,0.8
A woman is squeezing a lemon.,A woman is squeezing juice out of a lemon.,0.88
A woman is slicing an onion.,A man is slicing a tomato.,0.24
A woman is slicing a carrot.,A man is slicing a tomato.,0.24
A girl is styling her hair.,A girl is filing her nails.,0.25
A man walking down the stairs.,A man walks down a staircase.,1.0
Two people are riding a motorcycle.,Two people are riding a bike.,0.4
A man is playing a guitar.,A woman is playing an electric guitar.,0.44
A man is playing a guitar and singing.,A man is playing a guitar.,0.64
A man is walking in the rain.,A man and woman is walking in the grand.,0.3
A kangaroo is eating.,Kangaroo eating.,0.95
A man is fishing.,A man is exercising.,0.1
A woman is swimming.,A man is singing.,0.01
A Woman is eating.,A animal is eating.,0.32
A boy and a girl is dancing in the rain.,A man and woman is dancing in the rain.,0.52
A man is driving a car.,A man drives a car.,0.97
A woman is grating onion.,A woman grates onions.,1.0
Two roosters are fighting.,Two men are fighting.,0.4
A man is riding a horse.,A man is driving a car.,0.28
A man is riding a horse.,A man is driving a car.,0.28
A man is shooting a gun.,A man is slicing a bun.,0.16
A woman is cutting an onion.,A woman is cutting meat.,0.4
The woman is slicing herbs.,The man is slicing bread.,0.32
A boy is playing the piano.,A man is playing a piano.,0.6
A baby elephant is eating.,A baby elephant eats a sapling.,0.72
A woman is cracking eggs into a bowl.,A woman is cracking eggs.,0.8
A person is playing the keyboard.,A boy is playing a key-board.,0.8
A boy whacks a man with a sword.,A boy spanks a man with a plastic sword.,0.67
A person is slicing a carrot into pieces.,A person is cutting an onion into pieces.,0.3
A man sliced through a bunch of water bottles with a knife.,A man is slicing a line of water bottles with a knife,0.88
A man is writing in a book.,A man is writing on a paper.,0.57
A woman is slicing a garlic.,A woman is slicing a big pepper.,0.44
A person is making a bed.,A person is eating at a table.,0.04
A man is playing keyboard.,A man is playing guitar.,0.36
A man is playing a violin.,A man is playing a harp.,0.32
The woman is smoking.,The man is walking.,0.04
The man erased what the other man had on the board.,The man erased the work on the board.,0.6
A man is riding a motorcycle.,A man is riding a motorcycle through a town.,0.7
A man is riding a motorcycle on the highway.,A man is riding a motorcycle.,0.7
A woman is slicing up some meat.,A woman is slicing some onions.,0.4
A woman cuts up broccoli.,A woman is cutting broccoli.,1.0
A man is playing a piano.,A woman is peeling a potato.,0.0
Someone is slicing a tomato.,Someone is slicing fruit.,0.64
A woman is dancing in a cage.,A woman is dancing.,0.65
A woman is swimming.,A man is spitting.,0.0
A man is running.,A man is mooing.,0.2
The man is playing the guitar.,The man played his guitar.,0.73
A cat stares into the camera.,A cat addresses the camera.,0.6
The baby is laughing and crawling.,A baby is laughing and crawling on the floor.,0.84
A woman is shooting a gun.,A woman shoots a shotgun.,0.82
A woman is dancing in the rain.,A woman is dancing in railway station.,0.4
A woman is dancing.,A woman is exercising.,0.2
A kid is playing an instrument.,A young boy is playing a wind instrument.,0.76
Someone slices a bottle with a sword.,A man breaks a bottle with a sword.,0.8
A woman is cutting an apple.,A woman is cutting potato.,0.36
The man is peeling an apple.,A man peels an apple.,1.0
The man is playing the guitar.,The man is playing with a skull.,0.2
An animal is walking on the ground.,A solenodon is walking along the ground.,0.6
A little girl is playing a grand piano on stage.,A little girl is playing the piano.,0.52
a group of people dancing,A group of men are dancing.,0.68
A man plays a guitar.,A woman is playing guitar.,0.4
A cat swings on a ceiling fan.,A cat is spun around by a ceiling fan.,0.84
A woman is playing the flute.,A girl is playing a flute.,0.76
The woman is dicing onions.,A woman is cutting an onion.,0.88
A monkey is brushing a bull dog.,A monkey brushes a dog.,0.84
A woman is slicing a onion.,A woman is cutting a potato.,0.24
A man is playing the piano.,A woman is playing a guitar.,0.24
A woman is washing her hands.,A woman is straightening her hair.,0.16
A woman fires a shotgun.,A woman is shooting a gun.,0.64
A man is eating a bowl of cereal.,The man is eating cereal.,0.8
A woman is bathing into bath-tub.,A woman is taking a bath.,0.88
A motorcyclist crashes on his motorcycle.,A person crashes on a motorcycle.,0.84
A man is dangling a mouse near a snake.,A man is feeding a mice to a snake.,0.64
A man and a woman are walking in the woods.,A man and woman are walking through the jungle.,0.68
